Site;SS33 Rue des Communaux 7 (ID 3233);SS33 Rue des Communaux 7 (ID 3233);SS33 Rue des Communaux 7 (ID 3233);SS33 Rue des Communaux 7 (ID 3233)
Object;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Régulation primaire (échangeur 1)
Time Stamp;Puissance [kW];Température depart [°C];Température retour [°C];Temp depart secondaire [°C]
2023-01-11 00:00:00;20;77.3;58.3;62.9
2023-01-11 01:00:00;20;74.5;32.9;45.9
2023-01-11 02:00:00;21;76.0;46.8;54.4
2023-01-11 03:00:00;21;75.0;33.7;46.8
2023-01-11 04:00:00;24;76.1;46.3;55.3
2023-01-11 05:00:00;23;75.2;34.8;48.9
2023-01-11 06:00:00;24;75.5;36.0;50.7
2023-01-11 07:00:00;20;75.4;37.2;50.6
2023-01-11 08:00:00;20;75.4;36.8;49.6
2023-01-11 09:00:00;20;75.6;36.3;49.5
2023-01-11 10:00:00;18;75.1;36.0;48.5
2023-01-11 11:00:00;21;75.1;35.7;48.3
2023-01-11 12:00:00;18;75.9;42.6;51.3
2023-01-11 13:00:00;17;75.0;34.7;47.2
2023-01-11 14:00:00;23;76.4;43.8;52.7
2023-01-11 15:00:00;19;75.0;35.2;47.7
2023-01-11 16:00:00;21;76.0;43.2;52.2
2023-01-11 17:00:00;19;75.1;35.6;48.4
2023-01-11 18:00:00;21;76.0;44.1;52.7
2023-01-11 19:00:00;22;75.3;34.8;48.5
2023-01-11 20:00:00;24;75.9;39.3;50.9
2023-01-11 21:00:00;17;75.2;38.9;48.5
2023-01-11 22:00:00;20;75.0;34.0;46.9
2023-01-11 23:00:00;21;75.8;42.1;50.8
2023-01-12 00:00:00;19;75.0;33.1;46.0
2023-01-12 01:00:00;20;75.9;43.1;51.4
2023-01-12 02:00:00;21;74.9;33.7;46.9
2023-01-12 03:00:00;21;75.0;34.4;47.9
2023-01-12 04:00:00;24;75.9;43.3;52.4
2023-01-12 05:00:00;23;75.0;34.9;49.0
2023-01-12 06:00:00;24;75.5;36.2;50.6
2023-01-12 07:00:00;27;76.6;43.2;54.8
2023-01-12 08:00:00;21;76.1;39.1;53.0
2023-01-12 09:00:00;23;76.0;38.0;52.7
2023-01-12 10:00:00;23;76.6;44.5;54.4
2023-01-12 11:00:00;18;75.3;37.2;49.8
