Site;SS28 Rue des Tilleuls 1 (ID 3228);SS28 Rue des Tilleuls 1 (ID 3228);SS28 Rue des Tilleuls 1 (ID 3228);SS28 Rue des Tilleuls 1 (ID 3228)
Object;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Régulation primaire (échangeur 1)
Time Stamp;Puissance [kW];Température depart [°C];Température retour [°C];Temp depart secondaire [°C]
2023-01-11 01:00:00;12;66.2;37.1;56.0
2023-01-11 02:00:00;5;71.1;44.2;57.1
2023-01-11 03:00:00;0;58.3;35.0;54.4
2023-01-11 04:00:00;0;53.9;30.9;50.7
2023-01-11 05:00:00;0;50.4;28.7;47.7
2023-01-11 06:00:00;44;78.6;45.9;65.1
2023-01-11 07:00:00;22;79.9;48.6;61.1
2023-01-11 08:00:00;23;79.0;38.1;50.1
2023-01-11 09:00:00;17;79.5;41.1;51.0
2023-01-11 10:00:00;21;79.8;47.8;59.3
2023-01-11 11:00:00;21;78.2;34.2;44.8
2023-01-11 12:00:00;17;79.5;44.5;54.9
2023-01-11 13:00:00;13;77.6;32.9;39.9
2023-01-11 14:00:00;26;79.1;45.0;58.5
2023-01-11 15:00:00;17;79.0;40.5;50.8
2023-01-11 16:00:00;21;79.2;44.0;55.9
2023-01-11 17:00:00;32;79.6;43.6;59.8
2023-01-11 18:00:00;14;78.8;38.4;47.2
2023-01-11 19:00:00;22;79.4;45.2;57.1
2023-01-11 20:00:00;22;78.9;39.8;51.1
2023-01-11 21:00:00;13;78.7;38.2;46.5
2023-01-11 22:00:00;23;79.4;49.4;63.9
2023-01-11 23:00:00;0;63.8;44.1;56.9
2023-01-12 00:00:00;0;56.2;35.5;52.4
2023-01-12 01:00:00;0;52.8;31.8;50.0
2023-01-12 02:00:00;2;50.0;29.5;47.7
2023-01-12 03:00:00;10;71.9;43.9;58.1
2023-01-12 04:00:00;0;59.9;35.4;55.9
2023-01-12 05:00:00;0;54.5;30.8;51.5
2023-01-12 06:00:00;43;78.8;45.5;65.1
2023-01-12 07:00:00;22;79.8;47.3;59.5
2023-01-12 08:00:00;24;78.6;34.5;45.5
2023-01-12 09:00:00;20;79.7;43.3;54.7
2023-01-12 10:00:00;23;79.5;43.0;55.8
2023-01-12 11:00:00;21;78.8;46.0;60.3
2023-01-12 12:00:00;10;77.6;44.8;51.8
2023-01-12 13:00:00;22;77.8;33.7;44.2
2023-01-12 14:00:00;12;78.3;42.8;51.8
2023-01-12 15:00:00;27;79.8;49.8;63.4
2023-01-12 16:00:00;23;80.0;51.1;65.0
2023-01-12 17:00:00;21;80.0;52.4;65.0
2023-01-12 18:00:00;21;80.0;52.4;65.0
2023-01-12 19:00:00;18;79.9;53.8;65.1
2023-01-12 20:00:00;20;80.0;53.0;65.0
2023-01-12 21:00:00;24;80.0;50.7;65.0
2023-01-12 22:00:00;24;80.0;50.7;65.0
2023-01-12 23:00:00;0;63.0;45.1;52.6
2023-01-13 00:00:00;0;48.2;32.6;40.0
2023-01-13 01:00:00;0;45.6;27.3;39.0
2023-01-13 02:00:00;0;43.7;25.4;38.0
2023-01-13 03:00:00;0;41.7;24.7;36.8
2023-01-13 04:00:00;0;39.9;24.0;35.6
2023-01-13 05:00:00;9;65.3;42.2;54.4
2023-01-13 06:00:00;38;79.5;46.7;65.1
2023-01-13 07:00:00;19;79.4;42.2;52.8
2023-01-13 08:00:00;22;78.6;37.6;48.5
2023-01-13 09:00:00;17;79.2;40.9;51.0
2023-01-13 10:00:00;26;79.6;45.4;59.0
2023-01-13 11:00:00;17;78.1;37.8;48.1
2023-01-13 12:00:00;9;78.1;33.8;41.0
2023-01-13 13:00:00;13;77.0;31.9;38.9
2023-01-13 14:00:00;21;78.5;43.7;55.2
2023-01-13 15:00:00;13;78.3;38.0;46.7
2023-01-13 16:00:00;20;78.6;41.1;52.3
2023-01-13 17:00:00;17;78.4;41.3;51.3
2023-01-13 18:00:00;22;78.1;36.2;47.5
2023-01-13 19:00:00;14;78.6;38.8;48.3
2023-01-13 20:00:00;27;79.4;45.6;60.1
2023-01-13 21:00:00;25;78.6;43.2;56.6
2023-01-13 22:00:00;21;78.3;39.0;50.7
2023-01-13 23:00:00;4;71.0;31.7;45.9
2023-01-14 00:00:00;0;53.6;27.9;46.7
2023-01-14 01:00:00;0;49.0;26.3;43.4
2023-01-14 02:00:00;0;46.0;25.7;41.1
2023-01-14 03:00:00;0;43.7;25.0;39.2
2023-01-14 04:00:00;0;41.3;25.0;37.5
2023-01-14 05:00:00;7;60.6;40.3;51.0
2023-01-14 06:00:00;14;78.6;56.5;65.6
2023-01-14 07:00:00;24;78.3;29.0;40.8
2023-01-14 08:00:00;29;79.1;42.9;57.2
2023-01-14 09:00:00;25;79.9;49.7;65.0
2023-01-14 10:00:00;21;79.8;52.6;65.0
2023-01-14 11:00:00;21;79.7;52.6;65.0
2023-01-14 12:00:00;18;79.8;53.7;65.0
2023-01-14 13:00:00;10;77.3;46.1;52.7
2023-01-14 14:00:00;23;78.9;43.7;56.2
2023-01-14 15:00:00;18;76.9;39.8;49.8
