Site;SS39 Av. de Gilamont 46 (ID 3239);SS39 Av. de Gilamont 46 (ID 3239);SS39 Av. de Gilamont 46 (ID 3239);SS39 Av. de Gilamont 46 (ID 3239)
Object;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Régulation primaire (échangeur 1)
Time Stamp;Puissance [kW];Température depart [°C];Température retour [°C];Temp depart secondaire [°C]
2023-05-20 18:00:00;5;77.2;65.3;77.0
2023-05-20 19:00:00;0;72.8;53.5;72.8
2023-05-20 20:00:00;1;69.2;49.0;69.1
2023-05-20 21:00:00;30;78.7;66.8;77.8
2023-05-20 22:00:00;0;74.3;56.4;74.2
2023-05-20 23:00:00;0;70.3;50.1;70.2
2023-05-21 00:00:00;0;66.6;46.6;66.4
2023-05-21 01:00:00;7;72.0;29.2;37.4
2023-05-21 02:00:00;8;76.7;26.0;32.1
2023-05-21 03:00:00;7;77.0;26.0;32.2
2023-05-21 04:00:00;7;76.1;26.0;32.3
2023-05-21 05:00:00;8;77.2;26.0;32.4
2023-05-21 06:00:00;56;79.0;59.0;70.0
2023-05-21 07:00:00;12;77.0;32.8;35.7
2023-05-21 08:00:00;13;77.6;28.0;35.3
2023-05-21 09:00:00;11;78.1;28.0;34.8
2023-05-21 10:00:00;34;77.9;61.0;67.6
2023-05-21 11:00:00;3;72.1;33.5;33.4
2023-05-21 12:00:00;0;61.6;27.0;47.8
2023-05-21 13:00:00;28;67.5;48.7;63.6
2023-05-21 14:00:00;4;76.7;63.2;76.4
2023-05-21 15:00:00;0;72.3;52.8;72.2
2023-05-21 16:00:00;0;68.5;48.5;68.4
2023-05-21 17:00:00;29;76.2;62.2;75.1
2023-05-21 18:00:00;0;75.1;58.9;75.0
2023-05-21 19:00:00;0;71.1;51.7;70.9
2023-05-21 20:00:00;5;68.4;49.6;68.0
2023-05-21 21:00:00;24;78.5;68.4;77.8
2023-05-21 22:00:00;0;74.3;56.9;74.3
2023-05-21 23:00:00;0;70.4;50.9;70.3
2023-05-22 00:00:00;0;66.7;47.6;66.6
2023-05-22 01:00:00;0;63.3;45.1;63.1
2023-05-22 02:00:00;0;60.2;43.4;59.9
2023-05-22 03:00:00;0;57.2;41.8;57.0
2023-05-22 04:00:00;0;54.6;40.5;54.3
2023-05-22 05:00:00;7;66.3;30.3;38.9
2023-05-22 06:00:00;68;79.0;57.8;71.7
2023-05-22 07:00:00;14;78.0;38.8;41.5
2023-05-22 08:00:00;13;78.0;28.0;35.2
2023-05-22 09:00:00;13;78.1;29.0;36.0
2023-05-22 10:00:00;41;78.6;68.1;77.8
2023-05-22 11:00:00;0;74.4;58.2;74.5
2023-05-22 12:00:00;0;70.6;50.6;70.5
2023-05-22 13:00:00;6;68.3;49.3;68.1
2023-05-22 14:00:00;14;77.6;68.8;77.1
2023-05-22 15:00:00;0;73.5;56.5;73.5
2023-05-22 16:00:00;0;69.8;50.9;69.7
2023-05-22 17:00:00;19;72.2;57.5;71.6
2023-05-22 18:00:00;2;77.2;64.4;77.0
2023-05-22 19:00:00;0;72.9;53.9;72.8
2023-05-22 20:00:00;6;70.0;50.6;69.7
2023-05-22 21:00:00;39;79.3;66.2;78.0
2023-05-22 22:00:00;0;75.0;58.0;74.9
2023-05-22 23:00:00;0;71.0;51.0;70.8
2023-05-23 00:00:00;0;67.3;47.4;67.1
2023-05-23 01:00:00;0;63.7;44.9;63.5
2023-05-23 02:00:00;0;60.6;43.1;60.3
2023-05-23 03:00:00;0;57.7;41.6;57.4
2023-05-23 04:00:00;0;55.0;40.3;54.7
2023-05-23 05:00:00;0;52.7;39.1;52.2
2023-05-23 06:00:00;47;74.4;63.5;73.4
2023-05-23 07:00:00;2;76.5;64.2;76.4
2023-05-23 08:00:00;0;72.2;53.1;72.1
2023-05-23 09:00:00;28;73.2;55.1;72.5
2023-05-23 10:00:00;11;77.2;67.0;76.8
2023-05-23 11:00:00;0;72.6;54.3;72.5
2023-05-23 12:00:00;0;68.8;49.0;68.8
2023-05-23 13:00:00;16;71.2;55.9;70.7
2023-05-23 14:00:00;3;76.5;64.2;76.3
2023-05-23 15:00:00;0;72.3;53.7;72.2
2023-05-23 16:00:00;0;68.6;48.9;68.5
2023-05-23 17:00:00;23;77.5;66.8;76.8
2023-05-23 18:00:00;0;73.8;57.1;73.7
2023-05-23 19:00:00;0;70.0;51.0;69.9
2023-05-23 20:00:00;25;71.7;54.5;71.2
2023-05-23 21:00:00;9;76.9;64.7;76.4
2023-05-23 22:00:00;0;72.2;53.1;72.1
2023-05-23 23:00:00;0;68.4;48.3;68.3
2023-05-24 00:00:00;0;64.9;45.3;64.8
2023-05-24 01:00:00;0;61.6;43.1;61.4
2023-05-24 02:00:00;0;58.6;41.5;58.4
2023-05-24 03:00:00;0;55.9;40.1;55.6
2023-05-24 04:00:00;10;56.9;42.5;56.2
2023-05-24 05:00:00;32;78.3;67.7;77.7
2023-05-24 06:00:00;0;73.6;55.3;73.7
2023-05-24 07:00:00;27;77.9;67.1;77.1
2023-05-24 08:00:00;0;75.4;59.2;75.4
2023-05-24 09:00:00;0;71.4;50.9;71.4
2023-05-24 10:00:00;22;72.7;55.0;72.1
2023-05-24 11:00:00;7;77.6;64.7;77.2
2023-05-24 12:00:00;0;73.0;52.0;73.0
2023-05-24 13:00:00;0;69.0;46.6;69.0
2023-05-24 14:00:00;29;76.8;64.4;76.0
2023-05-24 15:00:00;0;75.1;59.4;75.1
2023-05-24 16:00:00;0;71.2;51.6;71.1
2023-05-24 17:00:00;0;67.5;47.7;67.5
2023-05-24 18:00:00;19;76.9;66.0;76.2
2023-05-24 19:00:00;0;74.4;57.0;74.3
2023-05-24 20:00:00;0;70.5;50.7;70.4
2023-05-24 21:00:00;19;70.7;52.2;70.2
2023-05-24 22:00:00;13;78.0;66.3;77.5
2023-05-24 23:00:00;0;73.4;53.7;73.3
2023-05-25 00:00:00;0;69.4;48.1;69.3
2023-05-25 01:00:00;0;65.7;44.8;65.6
2023-05-25 02:00:00;0;62.3;42.5;62.2
2023-05-25 03:00:00;0;59.3;40.8;59.1
