Site;SS03 Av Corsier 8-10 (ID 3203);SS03 Av Corsier 8-10 (ID 3203);SS03 Av Corsier 8-10 (ID 3203);SS03 Av Corsier 8-10 (ID 3203)
Object;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Régulation primaire (échangeur 1)
Time Stamp;Puissance [kW];Température depart [°C];Température retour [°C];Temp depart secondaire [°C]
2023-01-14 12:00:00;8;70.2;48.3;54.0
2023-01-14 13:00:00;13;79.3;26.0;33.9
2023-01-14 14:00:00;35;79.0;52.5;68.0
2023-01-14 15:00:00;7;70.1;33.9;35.9
2023-01-14 16:00:00;29;79.1;28.6;39.5
2023-01-14 17:00:00;19;73.2;52.2;60.0
2023-01-14 18:00:00;32;79.6;26.8;37.5
2023-01-14 19:00:00;37;78.9;52.4;68.4
2023-01-14 20:00:00;13;75.2;30.5;35.1
2023-01-14 21:00:00;60;80.7;49.7;68.0
2023-01-14 22:00:00;6;70.4;42.3;46.0
2023-01-14 23:00:00;34;79.5;45.0;60.4
2023-01-15 00:00:00;1;60.5;45.8;46.7
2023-01-15 01:00:00;9;76.4;25.0;35.6
2023-01-15 02:00:00;25;78.2;49.1;63.4
2023-01-15 03:00:00;4;62.5;40.2;40.2
2023-01-15 04:00:00;10;77.7;25.0;35.7
2023-01-15 05:00:00;26;78.9;47.3;59.6
2023-01-15 06:00:00;13;73.1;34.9;38.5
2023-01-15 07:00:00;17;79.6;26.0;35.3
2023-01-15 08:00:00;24;79.7;46.1;57.5
2023-01-15 09:00:00;8;70.8;37.4;39.4
2023-01-15 10:00:00;17;79.3;26.0;34.0
2023-01-15 11:00:00;29;79.6;45.5;58.2
2023-01-15 12:00:00;39;74.8;37.3;46.0
2023-01-15 13:00:00;27;77.5;55.7;65.7
2023-01-15 14:00:00;40;78.4;27.2;36.0
2023-01-15 15:00:00;27;80.2;31.5;42.9
2023-01-15 16:00:00;22;75.8;48.3;56.6
2023-01-15 17:00:00;25;80.0;26.0;35.2
2023-01-15 18:00:00;37;80.4;36.7;53.7
2023-01-15 19:00:00;30;76.1;40.1;47.5
2023-01-15 20:00:00;56;80.8;47.2;65.5
2023-01-15 21:00:00;19;77.4;38.8;45.1
2023-01-15 22:00:00;58;80.8;36.9;53.6
2023-01-15 23:00:00;15;76.0;46.9;54.9
2023-01-16 00:00:00;24;80.2;26.5;37.0
2023-01-16 01:00:00;34;80.5;36.8;49.4
2023-01-16 02:00:00;15;74.6;42.6;47.1
2023-01-16 03:00:00;17;74.5;43.3;51.3
2023-01-16 04:00:00;19;80.5;26.0;35.4
2023-01-16 05:00:00;24;79.4;47.8;58.5
2023-01-16 06:00:00;24;77.9;30.9;39.3
2023-01-16 07:00:00;25;81.0;27.1;37.6
2023-01-16 08:00:00;29;77.4;49.9;59.8
2023-01-16 09:00:00;18;80.6;27.2;38.1
2023-01-16 10:00:00;38;81.3;38.8;53.6
2023-01-16 11:00:00;15;76.0;41.9;47.6
2023-01-16 12:00:00;16;80.9;27.0;36.5
2023-01-16 13:00:00;35;78.9;51.0;65.6
2023-01-16 14:00:00;25;78.1;29.5;35.7
2023-01-16 15:00:00;31;81.2;31.4;43.7
2023-01-16 16:00:00;20;75.5;48.2;54.9
2023-01-16 17:00:00;17;80.9;27.0;36.6
2023-01-16 18:00:00;37;81.0;33.8;45.4
2023-01-16 19:00:00;20;75.8;45.7;52.0
2023-01-16 20:00:00;21;80.9;27.0;34.5
2023-01-16 21:00:00;49;81.6;46.5;65.5
2023-01-16 22:00:00;15;77.1;35.2;45.2
2023-01-16 23:00:00;46;81.1;45.3;61.1
2023-01-17 00:00:00;9;71.1;39.4;42.4
2023-01-17 01:00:00;17;80.0;26.0;35.5
2023-01-17 02:00:00;31;79.7;47.3;59.0
2023-01-17 03:00:00;13;69.7;36.4;39.0
2023-01-17 04:00:00;17;80.6;26.9;35.6
2023-01-17 05:00:00;23;77.8;51.8;60.9
2023-01-17 06:00:00;22;79.3;29.0;38.0
2023-01-17 07:00:00;25;81.0;27.8;37.7
2023-01-17 08:00:00;36;78.0;49.2;60.5
2023-01-17 09:00:00;48;80.8;27.2;36.1
2023-01-17 10:00:00;44;81.7;41.3;55.3
2023-01-17 11:00:00;27;77.5;39.5;45.0
2023-01-17 12:00:00;26;81.4;29.7;40.0
2023-01-17 13:00:00;22;77.2;50.3;58.7
2023-01-17 14:00:00;21;81.3;27.0;42.1
2023-01-17 15:00:00;41;81.5;35.6;49.8
2023-01-17 16:00:00;28;77.1;42.5;49.0
2023-01-17 17:00:00;26;81.2;27.8;36.4
2023-01-17 18:00:00;32;81.7;43.5;55.2
2023-01-17 19:00:00;13;77.8;33.2;39.9
2023-01-17 20:00:00;47;81.7;38.9;55.3
2023-01-17 21:00:00;13;78.4;44.0;50.7
2023-01-17 22:00:00;47;81.6;30.1;44.7
2023-01-17 23:00:00;28;78.6;54.5;66.7
2023-01-18 00:00:00;17;77.6;29.2;35.6
2023-01-18 01:00:00;26;81.0;30.6;41.7
2023-01-18 02:00:00;13;74.7;48.8;54.4
2023-01-18 03:00:00;23;80.8;26.0;35.5
2023-01-18 04:00:00;31;81.2;30.6;41.6
2023-01-18 05:00:00;10;75.0;49.3;54.7
2023-01-18 06:00:00;29;81.9;26.7;38.4
2023-01-18 07:00:00;32;81.7;29.6;41.3
2023-01-18 08:00:00;25;78.6;46.8;54.5
2023-01-18 09:00:00;28;81.7;27.0;37.7
2023-01-18 10:00:00;34;78.6;50.5;62.7
2023-01-18 11:00:00;13;81.8;27.4;41.3
2023-01-18 12:00:00;31;81.5;29.0;39.8
2023-01-18 13:00:00;28;77.9;49.6;59.9
2023-01-18 14:00:00;33;81.8;27.0;38.4
2023-01-18 15:00:00;40;82.1;38.1;52.8
2023-01-18 16:00:00;15;77.9;39.7;45.8
2023-01-18 17:00:00;10;82.0;27.9;42.1
2023-01-18 18:00:00;30;80.5;46.9;60.5
2023-01-18 19:00:00;1;79.3;30.4;38.3
2023-01-18 20:00:00;28;81.8;30.0;40.0
2023-01-18 21:00:00;42;81.2;52.3;68.5
2023-01-18 22:00:00;29;80.5;29.5;38.8
2023-01-18 23:00:00;56;82.2;46.7;64.7
2023-01-19 00:00:00;33;77.2;37.6;42.7
2023-01-19 01:00:00;27;82.0;27.0;38.7
2023-01-19 02:00:00;21;81.2;46.2;58.9
2023-01-19 03:00:00;21;79.6;30.1;37.3
2023-01-19 04:00:00;26;82.0;28.0;37.9
2023-01-19 05:00:00;29;79.6;49.4;58.8
2023-01-19 06:00:00;40;82.5;27.9;40.5
2023-01-19 07:00:00;37;82.6;28.8;40.6
2023-01-19 08:00:00;32;81.1;47.0;60.1
2023-01-19 09:00:00;37;82.7;29.0;40.7
2023-01-19 10:00:00;45;83.1;42.0;58.5
2023-01-19 11:00:00;13;79.9;37.6;45.1
2023-01-19 12:00:00;19;82.9;34.2;47.0
2023-01-19 13:00:00;13;78.7;44.8;55.4
2023-01-19 14:00:00;14;82.4;28.0;40.9
2023-01-19 15:00:00;50;82.8;41.6;59.0
2023-01-19 16:00:00;33;77.8;36.7;43.5
2023-01-19 17:00:00;7;82.3;28.3;39.5
2023-01-19 18:00:00;30;79.7;48.9;61.2
2023-01-19 19:00:00;32;82.6;27.9;39.2
2023-01-19 20:00:00;55;82.8;36.6;53.4
2023-01-19 21:00:00;38;81.1;45.7;59.5
2023-01-19 22:00:00;39;82.8;28.5;40.7
2023-01-19 23:00:00;50;82.9;44.8;62.2
2023-01-20 00:00:00;23;80.0;38.8;46.0
2023-01-20 01:00:00;32;82.7;28.0;39.8
2023-01-20 02:00:00;29;82.4;45.0;57.4
2023-01-20 03:00:00;35;80.6;31.2;39.8
2023-01-20 04:00:00;30;83.0;29.0;39.4
2023-01-20 05:00:00;19;80.3;49.6;57.8
2023-01-20 06:00:00;41;83.6;28.9;41.5
2023-01-20 07:00:00;36;83.7;30.0;41.8
2023-01-20 08:00:00;39;82.3;47.8;62.5
2023-01-20 09:00:00;41;83.8;29.5;42.3
2023-01-20 10:00:00;45;83.7;45.1;60.7
2023-01-20 11:00:00;19;81.4;32.6;37.5
2023-01-20 12:00:00;21;83.4;29.0;37.3
2023-01-20 13:00:00;26;79.1;50.5;61.3
2023-01-20 14:00:00;22;83.0;28.1;37.4
2023-01-20 15:00:00;33;83.2;32.7;45.3
2023-01-20 16:00:00;16;78.7;47.2;55.1
2023-01-20 17:00:00;9;83.2;28.4;45.6
2023-01-20 18:00:00;34;83.4;44.7;62.0
2023-01-20 19:00:00;31;80.9;32.8;41.7
2023-01-20 20:00:00;54;83.6;37.8;54.8
2023-01-20 21:00:00;29;81.6;42.0;52.8
2023-01-20 22:00:00;48;83.5;32.2;47.9
2023-01-20 23:00:00;30;79.5;53.1;64.0
2023-01-21 00:00:00;23;82.9;27.7;40.5
2023-01-21 01:00:00;38;83.0;28.7;41.4
2023-01-21 02:00:00;25;79.2;48.7;55.4
2023-01-21 03:00:00;33;83.0;27.7;39.5
2023-01-21 04:00:00;33;83.1;29.6;38.9
2023-01-21 05:00:00;22;80.3;47.6;56.1
